"Species" "Family" "Lifeform" "N" "Hemicellulose" "Cellulose" "Lignin" "LamWS" "LamFT" "VeinFT" "LamD" "LamT"
"47" "Dendropanax_arboreus" "Araliaceae" "TREE" 8 102.731 192.01 187.933 0.066 321.757 3391.139 0.26 0.202
"48" "Desmopsis_panamensis" "Annonaceae" "UNDERSTORY" 10 186.731 283.747 137.909 0.082 486.071 3137.538 0.261 0.17
"49" "Diospyros_artanthifolia" "Ebenaceae" "UNDERSTORY" 8 92.53 159.759 310.361 0.04 271.138 2842.45 0.414 0.146
"50" "Dipteryx_oleifera" "Fabaceae" "TREE" 4 187.331 205.815 202.492 0.038 291.4 3666.525 0.22 0.133
"51" "Erythroxylum_macrophyllum" "Erythroxylaceae" "SHRUB" 8 167.486 249.386 186.323 0.11 463.385 3083.075 0.323 0.232
"52" "Erythroxylum_panamense" "Erythroxylaceae" "SHRUB" 10 322.45 157.98 91.057 0.037 297.129 3358.259 0.294 0.127
"53" "Eugenia_coloradoensis" "Myrtaceae" "UNDERSTORY" 9 193.391 269.005 147.578 0.095 426.334 3262.408 0.342 0.224
"54" "Eugenia_galalonensis" "Myrtaceae" "MIDSTORY" 10 119.858 161.62 268.741 0.06 379.555 2481.3 0.346 0.157
"55" "Eugenia_oerstediana" "Myrtaceae" "UNDERSTORY" 8 207.705 258.867 155.728 0.064 554.188 4015.808 0.374 0.116
"56" "Faramea_occidentalis" "Rubiaceae" "UNDERSTORY" 11 99.393 172.63 120.109 0.056 428.203 4034.3 0.385 0.131
"57" "Ficus_insipida" "Moraceae" "TREE" 9 108.042 170.043 90.035 0.073 409.911 4617.164 0.297 0.176
"58" "Ficus_maxima" "Moraceae" "MIDSTORY" 3 123.919 167.353 109.304 0.049 341.65 3286.85 0.213 0.143
"59" "Ficus_tonduzii" "Moraceae" "UNDERSTORY" 9 146.695 230.633 78.055 0.11 546.896 5652.029 0.285 0.2
"60" "Garcinia_intermedia" "Clusiaceae" "TREE" 9 135.79 259.365 254.479 0.131 525.471 4712.213 0.374 0.249
"61" "Garcinia_madruno" "Clusiaceae" "TREE" 10 125 233.953 168.243 0.165 761.542 6209.95 0.368 0.218
"62" "Genipa_americana" "Rubiaceae" "TREE" 5 117.572 186.969 137.309 0.036 299.885 1943.865 0.216 0.117
"63" "Guapira_standleyana" "Nyctaginaceae" "TREE" 5 243.309 121.554 145.1 0.041 230.183 1314.025 0.162 0.186
"64" "Guarea_grandifolia" "Meliaceae" "TREE" 6 222.046 214.697 179.146 0.063 315.78 3281.94 0.199 0.2
"65" "Guarea_guidonia" "Meliaceae" "MIDSTORY" 5 164.061 209.923 267.459 0.058 360.661 2814.546 0.261 0.165
"66" "Guatteria_dumetorum" "Annonaceae" "TREE" 6 168.697 194.328 157.143 0.063 451.729 2887.096 0.3 0.14
"67" "Guazuma_ulmifolia" "Malvaceae" "MIDSTORY" 4 388.956 139.137 85.604 0.024 193.675 1894.617 0.265 0.128
"68" "Guettarda_foliacea" "Rubiaceae" "UNDERSTORY" 10 233.896 231.051 100.996 0.033 320.386 1883.073 0.235 0.102
"69" "Gustavia_superba" "Lecythidaceae" "UNDERSTORY" 6 179.524 233.279 165.572 0.069 517.069 3094.025 0.291 0.133
"70" "Hamelia_axillaris" "Rubiaceae" "SHRUB" 4 122.288 115.057 208.635 0.031 217.575 1614.95 0.198 0.143
"71" "Hampea_appendiculata" "Malvaceae" "UNDERSTORY" 6 110.497 140.782 247.749 0.046 289.625 1396.375 0.204 0.159
"72" "Heisteria_acuminata" "Olacaceae" "TREE" 11 103.003 187.817 102.369 0.107 562.981 5911.814 0.353 0.194
"73" "Heisteria_concinna" "Olacaceae" "MIDSTORY" 8 139.235 194.03 210.182 0.148 728.463 4511.633 0.429 0.197
"74" "Herrania_purpurea" "Malvaceae" "SHRUB" 11 223.067 287.007 144.634 0.042 378.905 2473.568 0.193 0.111
"75" "Hieronyma_alchorneoides" "Euphorbiaceae" "TREE" 5 116.505 191.748 236.853 0.055 310.754 2523.95 0.17 0.179
"76" "Hirtella_americana" "Chrysobalanaceae" "MIDSTORY" 8 195.357 211.462 157.08 0.074 477.225 2446.25 0.274 0.154
"77" "Hirtella_triandra" "Chrysobalanaceae" "MIDSTORY" 8 158.007 198.68 154.813 0.056 429.375 2754.54 0.324 0.127
"78" "Hura_crepitans" "Euphorbiaceae" "TREE" 2 160.355 156.213 58.777 0.019 204.8 2148.3 0.187 0.095
"79" "Hybanthus_prunifolius" "Violaceae" "SHRUB" 5 197.314 163.737 113.026 0.061 428.638 3680.125 0.254 0.134
"80" "Inga_acuminata" "Fabaceae" "UNDERSTORY" 14 147.394 249.593 264.454 0.052 509.872 3616.18 0.36 0.101
"81" "Inga_goldmanii" "Fabaceae" "MIDSTORY" 6 157.134 255.582 291.516 0.072 555.75 3183.883 0.308 0.133
"82" "Inga_marginata" "Fabaceae" "UNDERSTORY" 4 135.754 263.615 248.076 0.074 484.85 2820.625 0.291 0.153
"83" "Inga_nobilis" "Fabaceae" "UNDERSTORY" 7 123.389 223.326 334.249 0.075 496.325 2694.017 0.342 0.152
"84" "Inga_pezizifera" "Fabaceae" "TREE" 9 150.725 216.563 277.019 0.053 518.071 3367.517 0.309 0.103
"85" "Inga_punctata" "Fabaceae" "UNDERSTORY" 3 117.599 206.813 337.591 0.088 569.35 2648.575 0.396 0.155
"86" "Inga_sapindoides" "Fabaceae" "UNDERSTORY" 8 188.92 195.008 185.674 0.05 390.038 3259.106 0.306 0.126
"87" "Inga_spectabilis" "Fabaceae" "TREE" 7 129.815 226.431 301.979 0.07 461.438 3567.04 0.35 0.148
"88" "Inga_umbellifera" "Fabaceae" "UNDERSTORY" 10 170.63 258.026 231.916 0.068 537.288 8546.35 0.363 0.126
"89" "Jacaranda_copaia" "Bignoniaceae" "TREE" 5 95.995 118.198 185.024 0.018 255.575 2664.75 0.385 0.078
