Species,Family,Lifeform,N,Hemicellulose,Cellulose,Lignin,LamWS,LamFT,VeinFT,LamD,LamT
Acalypha_diversifolia,Euphorbiaceae,SHRUB,6,171.283,189.206,56.415,0.041,466.333,2081.725,0.260,0.092
Acalypha_macrostachya,Euphorbiaceae,SHRUB,9,154.354,174.577,94.305,0.017,214.513,1532.875,0.165,0.083
Adelia_triloba,Euphorbiaceae,SHRUB,9,145.673,175.348,122.225,0.029,354.717,1692.067,0.308,0.085
Aegiphila_panamensis,Verbenaceae,SHRUB,7,139.454,154.094,178.908,0.024,176.063,1503.600,0.182,0.139
Alibertia_edulis,Rubiaceae,SHRUB,11,179.295,191.818,247.130,0.063,477.236,2855.131,0.364,0.133
Allophylus_psilospermus,Sapindaceae,UNDERSTORY,9,209.524,211.550,104.762,0.033,334.267,2007.619,0.254,0.102
Alseis_blackiana,Rubiaceae,UNDERSTORY,9,222.316,197.684,118.526,0.032,275.250,1830.081,0.240,0.113
Amaioua_corymbosa,Rubiaceae,SHRUB,10,116.830,304.739,226.307,0.096,690.783,3309.900,0.350,0.140
Anaxagorea_panamensis,Annonaceae,SHRUB,5,160.656,177.269,179.295,0.067,364.070,2760.840,0.296,0.184
Andira_inermis,Fabaceae,UNDERSTORY,9,180.065,295.168,311.409,0.064,557.278,3302.549,0.333,0.116
Annona_acuminata,Annonaceae,UNDERSTORY,4,217.816,188.538,236.711,0.082,489.483,2891.358,0.308,0.154
Annona_spraguei,Annonaceae,MIDSTORY,4,161.686,234.118,160.499,0.032,291.800,2946.700,0.242,0.110
Apeiba_membranacea,Malvaceae,TREE,3,280.232,190.200,179.821,0.017,231.225,1904.663,0.157,0.076
Apeiba_tibourbou,Malvaceae,TREE,4,351.346,203.682,149.842,0.041,317.267,1965.350,0.163,0.135
Aphelandra_sinclairiana,Acanthaceae,SHRUB,3,190.418,202.143,128.563,0.026,262.350,1806.850,0.184,0.105
Ardisia_bartlettii,Myrsinaceae,SHRUB,5,52.565,95.079,167.330,0.065,293.186,2019.907,0.366,0.224
Ardisia_guianensis,Myrsinaceae,SHRUB,6,214.316,160.051,207.981,0.080,418.975,3092.910,0.284,0.191
Ardisia_standleyana,Myrsinaceae,SHRUB,11,177.382,205.654,232.042,0.079,374.929,2877.825,0.282,0.210
Aspidosperma_spruceanum,Apocynaceae,TREE,7,134.982,269.558,193.960,0.170,643.708,4464.415,0.339,0.265
Astronium_graveolens,Anacardiaceae,TREE,3,137.756,120.917,80.747,0.027,385.625,2668.488,0.403,0.070
Beilschmiedia_tovarensis,Lauraceae,TREE,6,88.870,205.617,299.099,0.068,406.250,3165.142,0.371,0.169
Brosimum_alicastrum,Moraceae,TREE,5,132.942,215.769,53.890,0.055,588.250,4460.433,0.301,0.093
Brosimum_guianense,Moraceae,TREE,3,153.814,210.504,95.248,0.055,423.650,4236.150,0.274,0.130
Calophyllum_longifolium,Clusiaceae,TREE,3,129.401,324.719,220.225,0.137,560.200,4263.900,0.250,0.245
Capparis_frondosa,Brassicaceae,SHRUB,5,187.487,247.590,134.564,0.084,547.733,5113.208,0.393,0.155
Casearia_aculeata,Salicaceae,UNDERSTORY,9,180.882,151.050,80.672,0.060,398.458,1928.492,0.286,0.149
Casearia_arborea,Salicaceae,MIDSTORY,4,272.879,189.285,138.003,0.022,230.250,1481.217,0.188,0.100
Casearia_commersoniana,Salicaceae,UNDERSTORY,12,141.542,235.836,169.973,0.071,539.537,4743.897,0.409,0.131
Casearia_guianensis,Salicaceae,SHRUB,9,135.800,185.629,99.016,0.052,467.056,3394.306,0.261,0.110
Casearia_sylvestris,Salicaceae,SHRUB,6,152.430,187.237,217.844,0.076,567.283,2684.917,0.404,0.135
Celtis_schippii,Ulmaceae,TREE,8,157.563,201.218,100.914,0.054,535.013,2731.356,0.312,0.099
Chamguava_schippii,Myrtaceae,UNDERSTORY,11,157.354,301.767,151.602,0.087,497.533,3243.342,0.303,0.179
